Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525467,66816,458651,141380,25781,48711,20462,0.127155,0.721795,0.34454,0.21622,,,1.52827573414,0.303529215452
INDEL,PASS,525467,66816,458651,141380,25781,48711,20462,0.127155,0.721795,0.34454,0.21622,,,1.52827573414,0.303529215452
SNP,ALL,3365126,631756,2733370,899895,123552,144122,122771,0.187736,0.836522,0.160154,0.306652,2.10012756571,1.94588631937,1.58119585325,0.34337496902
SNP,PASS,3365126,631756,2733370,899895,123552,144122,122771,0.187736,0.836522,0.160154,0.306652,2.10012756571,1.94588631937,1.58119585325,0.34337496902
